Name,Price,PriceScore,Processor Type,ProcessorScore,RAM,RAMScore,Hard Disk,StorageScore,Graphics Card,GraphicsScore,Screen Size,ScreenScore,TotalScore,NormalizedScore
HP EliteBook 845 G9 Ryzen 5 Pro 6650U Laptop,49999.0,4.612235559566786,AMD Ryzen 5 Pro-6650U,8.1375,8.0,4.0,512GB NVMe Express Drive,9.0,AMD Radeon-4GB,6,"14"" FHD IPS Panel, anti-glare, 250 nits, 45% NTSC",9.0,6.236144223826714,65.99501840613023
"Dell Precision 5520 Core i7 6th Gen 15"" 4K Touch Laptop",54000.0,3.3231046931407935,Intel Core i7,5.5,16.0,8.0,1000GB,10.0,NVIDIA Quadro M1200 with 4GB dedicated graphics,7,"15"" 4K Touch",9.5,6.229241877256317,65.89569303241166
Microsoft Surface Laptop 3 Core i7 10th Gen,57000.0,2.356498194945849,Intel Core i7-1065G7 10th Generation,7.6,16.0,8.0,512GB,9.0,Intel Ultra HD- 8GB,3,"13.3"" UHD, 2256 x 1504p Touch",8.65,6.22259927797834,65.8001054450573
HP ProBook 6870s Core i5 3rd Gen 8GB RAM Laptop,12500.0,9.819494584837544,Intel Core i5-3210M 3rg Generation,2.1,8.0,4.0,128GB SATA,6.0,Intel HD 4000,3,14 Inch HD LED Display,9.0,6.207797833935018,65.58711136453942
HP OMEN 15-ce015TX Core i7 7th Gen Gaming Laptop,50000.0,4.611913357400722,Intel Core i7-7700HQ 7th Generation,5.5,12.0,6.0,256 GB M.2 NVME SSD + 1 TB HDD,10.0,10 GB Total Graphics with Dedicated 4GB NVIDIA GTX 1050 TI GDDR5,8,"15.6"" Diagonal FHD IPS UWVA Anti-Glare WLED-Backlit",9.8,6.194765342960288,65.39957267413222
HP EliteBook X360 1040 G8 Core i7 11th Gen Laptop,69999.0,0.0,Intel Core i7-1165G7 11th Generation,8.299999999999999,32.0,10.0,512GB NVMe Drive,9.0,Intel Iris Xe- 16GB,5,"14"" FHD X360 Display",9.0,6.19,65.33099897016065
Lenovo ThinkPad E431 Core i5 3rd Gen Laptop,13500.0,9.747292418772563,Intel Core i5-3470 3rd Generation,2.1,8.0,4.0,128GB M.2,6.0,Intel HD Graphics,3,14 inch LED Anti-glare WXGA Resolution Display,9.0,6.178916967509025,65.1715131586509
HP EliteBook 840 G9 Core i5 12th Gen Touch Display,60000.0,1.3898916967509027,Intel Core i5-1265U 12th Generation,8.4,16.0,8.0,512GB,9.0,8GB Intel Iris XE GPU,5,"14"" diagonal, WUXGA, IPS, anti-glare, 250 nits, 45% NTSC Touch",9.0,6.175956678700361,65.12891434254733
HP EliteBook 830 G7 Core i7 10th Gen 16GB RAM Touch,57900.0,2.0665162454873647,Intel Core i7-10610U 10th Generation,7.6,16.0,8.0,512GB NVMe,9.0,Intel UHD Graphics 8GB,4,13.3 inch Diagonal FHD IPS eDP Anti-glare WLED-backlit bent touch-on-panel screen,8.65,6.156606498194946,64.85046354460204
Lenovo IdeaPad Slim 3 15IRU8 Core i3 13th Gen Laptop,49999.0,4.612235559566786,Intel Core i3-1305U 13th Generation,8.5,8.0,4.0,256GB NVMe Drive,7.0,Intel UHD Graphics 4GB,4,"15.6"" FHD",9.8,6.144894223826714,64.6819228871815
Apple A1502 MacBook Pro 2015 Core i5  256GB SSD,34999.0,8.195018050541517,Core i5,3.5,8.0,4.0,256GB,7.0,Intel Iris Graphics 6100,5,13.3 Inch,8.65,6.128007220216607,64.43891742122094
HP Pavilion Plus 14-ey0035AU Ryzen 7 7840H 512GB SSD,83999.0,0.0,AMD Ryzen-7 7840H,7.9,32.0,10.0,512GB NVM Express Drive,9.0,AMD Radeon 780M-16GB,6,"14"" UHD+",9.0,6.12,64.32369281863834
HP 14s-fq1069AU Ryzen 7-5700U Laptop,49999.0,4.612235559566786,Ryzen 7-5700U,7.731249999999999,8.0,4.0,512GB NVMe,9.0,AMD Radeon 4GB,6,14 inch,9.0,6.114269223826714,64.24122644589049
HP OMEN Gaming 16-n0046AX Ryzen 9-6900HX,148500.0,0.0,AMD Ryzen 9-6900HX,9.0375,16.0,8.0,1TB NVMe Express Drive,10.0,AMD Radeon 680M 8GB with NVIDIA RTX 3070Ti-8GB GDDR6,10,"16.1"" UHD 165Hz Refresh Rate,  3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",10.0,6.11125,64.19777954969804
"Asus D570DD AMD Ryzen 5 3500U 15.6"" Laptop",43999.0,6.545448555956678,AMD Ryzen 5 3500U,5.11875,8.0,4.0,256GB,7.0,Nvidia GTX 1050 with 4GB Graphics,8,15.6 Full HD Antiglare Display,9.8,6.103804422382671,64.09063703347559
HP EliteBook 840 G8 Core i5 11th Gen 512GB SSD,52000.0,3.9675090252707585,Intel Core i5 11th Generation,7.699999999999999,10.0,5.0,512GB NVME,9.0,8GB Intel Iris Xe graphics card,5,"14"" diagonal FHD display",9.0,6.097003610108303,63.9927727471996
"HP Zbook Firefly G7 Core i7 10th Gen 14"" Touch Display",58000.0,2.034296028880866,Intel Core i7-10510U 10th Generation,7.6,16.0,8.0,512GB NVMe,9.0,Bulti In Graphics Card,3,"14"" diagonal, 4K UHD Touch",9.0,6.093718411552347,63.94549845127977
"Apple MacBook Pro 2015 Core i7 Quad Core 15"" Retina",53900.0,3.355324909747292,Intel Core i7 Quad Core,5.5,16.0,8.0,512GB NVME,9.0,"Intel Iris 6100, Dedicated Graphics 2 GB",5,"15"" Retina Display",9.5,6.092129963898917,63.922640549955915
Dell Precision 5540 Core i7 9th Gen 16GB RAM,58000.0,2.034296028880866,Intel Core i7-9050H 9th Generation,6.899999999999999,16.0,8.0,512 GB,9.0,Intel UHD 16GB with Dedicated NVIDIA Quadro T1000 4GB,7,"15.6"" FHD Display",9.8,6.083718411552345,63.801597572490856
